lead_id,interaction_type,interaction_date,details
148,Meeting,1/29/2023,"{""follow_up_date"": ""2023-06-11"", ""priority"": ""high""}"
724,Call,1/29/2023,"{""follow_up_date"": ""2023-02-17"", ""priority"": ""low""}"
73,Meeting,1/29/2023,"{""follow_up_date"": ""2023-06-29"", ""priority"": ""high""}"
802,Meeting,1/29/2023,"{""follow_up_date"": ""2023-10-01"", ""priority"": ""high""}"
440,Meeting,1/30/2023,"{""follow_up_date"": ""2024-01-28"", ""priority"": ""high""}"
843,Call,1/30/2023,"{""follow_up_date"": ""2023-07-31"", ""priority"": ""low""}"
522,Email,1/31/2023,"{""follow_up_date"": ""2023-02-22"", ""priority"": ""low""}"
376,Meeting,1/31/2023,"{""follow_up_date"": ""2023-09-09"", ""priority"": ""low""}"
705,Email,2/1/2023,"{""follow_up_date"": ""2023-03-31"", ""priority"": ""low""}"
709,Meeting,2/2/2023,"{""follow_up_date"": ""2023-12-11"", ""priority"": ""low""}"
989,Meeting,2/2/2023,"{""follow_up_date"": ""2023-05-01"", ""priority"": ""low""}"
559,Meeting,2/2/2023,"{""follow_up_date"": ""2023-11-16"", ""priority"": ""medium""}"
238,Call,2/3/2023,"{""follow_up_date"": ""2023-11-25"", ""priority"": ""high""}"
237,Email,2/3/2023,"{""follow_up_date"": ""2023-03-27"", ""priority"": ""low""}"
134,Call,2/3/2023,"{""follow_up_date"": ""2023-10-10"", ""priority"": ""low""}"
339,Call,2/3/2023,"{""follow_up_date"": ""2023-10-19"", ""priority"": ""high""}"
864,Meeting,2/4/2023,"{""follow_up_date"": ""2024-01-21"", ""priority"": ""medium""}"
955,Email,2/5/2023,"{""follow_up_date"": ""2023-07-17"", ""priority"": ""medium""}"
959,Call,2/5/2023,"{""follow_up_date"": ""2023-11-14"", ""priority"": ""high""}"
310,Meeting,2/5/2023,"{""follow_up_date"": ""2023-09-20"", ""priority"": ""high""}"
567,Call,2/6/2023,"{""follow_up_date"": ""2023-11-17"", ""priority"": ""low""}"
998,Meeting,2/6/2023,"{""follow_up_date"": ""2023-04-14"", ""priority"": ""low""}"
555,Email,2/6/2023,"{""follow_up_date"": ""2023-12-11"", ""priority"": ""low""}"
210,Call,2/7/2023,"{""follow_up_date"": ""2024-01-31"", ""priority"": ""low""}"
799,Call,2/8/2023,"{""follow_up_date"": ""2023-10-09"", ""priority"": ""high""}"
697,Email,2/9/2023,"{""follow_up_date"": ""2023-04-20"", ""priority"": ""high""}"
180,Meeting,2/10/2023,"{""follow_up_date"": ""2023-12-03"", ""priority"": ""low""}"
448,Call,2/10/2023,"{""follow_up_date"": ""2023-05-28"", ""priority"": ""high""}"
746,Meeting,2/11/2023,"{""follow_up_date"": ""2023-02-25"", ""priority"": ""medium""}"
874,Meeting,2/11/2023,"{""follow_up_date"": ""2023-05-16"", ""priority"": ""high""}"
571,Email,2/12/2023,"{""follow_up_date"": ""2023-11-01"", ""priority"": ""medium""}"
803,Meeting,2/12/2023,"{""follow_up_date"": ""2023-11-22"", ""priority"": ""medium""}"
156,Email,2/12/2023,"{""follow_up_date"": ""2023-02-13"", ""priority"": ""high""}"
477,Email,2/12/2023,"{""follow_up_date"": ""2024-01-21"", ""priority"": ""high""}"
81,Email,2/12/2023,"{""follow_up_date"": ""2023-05-29"", ""priority"": ""high""}"
104,Email,2/13/2023,"{""follow_up_date"": ""2023-03-04"", ""priority"": ""low""}"
776,Call,2/15/2023,"{""follow_up_date"": ""2023-09-17"", ""priority"": ""high""}"
336,Call,2/15/2023,"{""follow_up_date"": ""2024-01-06"", ""priority"": ""low""}"
811,Meeting,2/15/2023,"{""follow_up_date"": ""2023-08-27"", ""priority"": ""low""}"
570,Call,2/15/2023,"{""follow_up_date"": ""2023-11-20"", ""priority"": ""high""}"
637,Email,2/16/2023,"{""follow_up_date"": ""2023-05-15"", ""priority"": ""medium""}"
974,Email,2/16/2023,"{""follow_up_date"": ""2023-07-10"", ""priority"": ""medium""}"
362,Call,2/16/2023,"{""follow_up_date"": ""2023-10-01"", ""priority"": ""medium""}"
475,Meeting,2/16/2023,"{""follow_up_date"": ""2023-09-13"", ""priority"": ""high""}"
915,Meeting,2/17/2023,"{""follow_up_date"": ""2023-07-12"", ""priority"": ""low""}"
719,Email,2/17/2023,"{""follow_up_date"": ""2023-04-07"", ""priority"": ""high""}"
533,Meeting,2/18/2023,"{""follow_up_date"": ""2023-11-27"", ""priority"": ""high""}"
586,Email,2/18/2023,"{""follow_up_date"": ""2023-03-24"", ""priority"": ""medium""}"
180,Call,2/19/2023,"{""follow_up_date"": ""2023-12-06"", ""priority"": ""medium""}"
200,Call,2/19/2023,"{""follow_up_date"": ""2024-01-16"", ""priority"": ""high""}"
356,Meeting,2/19/2023,"{""follow_up_date"": ""2024-02-12"", ""priority"": ""low""}"
349,Call,2/19/2023,"{""follow_up_date"": ""2023-12-19"", ""priority"": ""low""}"
452,Email,2/20/2023,"{""follow_up_date"": ""2023-09-24"", ""priority"": ""high""}"
2,Meeting,2/20/2023,"{""follow_up_date"": ""2023-10-24"", ""priority"": ""low""}"
345,Meeting,2/20/2023,"{""follow_up_date"": ""2023-07-28"", ""priority"": ""low""}"
371,Meeting,2/20/2023,"{""follow_up_date"": ""2023-08-26"", ""priority"": ""low""}"
63,Call,2/20/2023,"{""follow_up_date"": ""2024-02-06"", ""priority"": ""low""}"
118,Call,2/20/2023,"{""follow_up_date"": ""2023-07-10"", ""priority"": ""medium""}"
988,Meeting,2/21/2023,"{""follow_up_date"": ""2023-03-26"", ""priority"": ""low""}"
5,Email,2/22/2023,"{""follow_up_date"": ""2023-05-20"", ""priority"": ""high""}"
792,Meeting,2/22/2023,"{""follow_up_date"": ""2023-05-31"", ""priority"": ""medium""}"
968,Email,2/22/2023,"{""follow_up_date"": ""2023-08-09"", ""priority"": ""medium""}"
196,Meeting,2/23/2023,"{""follow_up_date"": ""2023-11-14"", ""priority"": ""medium""}"
811,Meeting,2/24/2023,"{""follow_up_date"": ""2024-02-13"", ""priority"": ""medium""}"
994,Call,2/24/2023,"{""follow_up_date"": ""2023-12-14"", ""priority"": ""high""}"
473,Meeting,2/25/2023,"{""follow_up_date"": ""2023-09-29"", ""priority"": ""high""}"
486,Email,2/25/2023,"{""follow_up_date"": ""2023-12-16"", ""priority"": ""high""}"
797,Meeting,2/26/2023,"{""follow_up_date"": ""2023-12-13"", ""priority"": ""medium""}"
419,Email,2/26/2023,"{""follow_up_date"": ""2023-09-15"", ""priority"": ""high""}"
573,Meeting,2/26/2023,"{""follow_up_date"": ""2023-07-19"", ""priority"": ""low""}"
572,Meeting,2/26/2023,"{""follow_up_date"": ""2023-04-29"", ""priority"": ""high""}"
561,Meeting,2/26/2023,"{""follow_up_date"": ""2023-08-09"", ""priority"": ""high""}"
278,Meeting,2/26/2023,"{""follow_up_date"": ""2024-02-10"", ""priority"": ""high""}"
41,Meeting,2/27/2023,"{""follow_up_date"": ""2023-06-08"", ""priority"": ""low""}"
430,Email,2/27/2023,"{""follow_up_date"": ""2023-12-07"", ""priority"": ""medium""}"
572,Meeting,2/27/2023,"{""follow_up_date"": ""2023-08-05"", ""priority"": ""low""}"
946,Call,2/27/2023,"{""follow_up_date"": ""2023-10-12"", ""priority"": ""medium""}"
591,Call,2/28/2023,"{""follow_up_date"": ""2024-02-04"", ""priority"": ""medium""}"
980,Email,2/28/2023,"{""follow_up_date"": ""2023-09-09"", ""priority"": ""medium""}"
607,Meeting,2/28/2023,"{""follow_up_date"": ""2023-07-06"", ""priority"": ""high""}"
308,Email,2/28/2023,"{""follow_up_date"": ""2023-09-09"", ""priority"": ""high""}"
855,Email,3/1/2023,"{""follow_up_date"": ""2023-03-12"", ""priority"": ""low""}"
633,Meeting,3/1/2023,"{""follow_up_date"": ""2023-09-26"", ""priority"": ""low""}"
258,Call,3/1/2023,"{""follow_up_date"": ""2023-05-12"", ""priority"": ""medium""}"
436,Call,3/2/2023,"{""follow_up_date"": ""2023-07-01"", ""priority"": ""low""}"
730,Call,3/3/2023,"{""follow_up_date"": ""2023-12-02"", ""priority"": ""high""}"
919,Email,3/3/2023,"{""follow_up_date"": ""2023-10-21"", ""priority"": ""high""}"
765,Call,3/3/2023,"{""follow_up_date"": ""2024-02-26"", ""priority"": ""medium""}"
701,Email,3/3/2023,"{""follow_up_date"": ""2023-06-02"", ""priority"": ""medium""}"
246,Meeting,3/3/2023,"{""follow_up_date"": ""2024-02-15"", ""priority"": ""medium""}"
267,Meeting,3/3/2023,"{""follow_up_date"": ""2023-03-05"", ""priority"": ""low""}"
490,Call,3/4/2023,"{""follow_up_date"": ""2023-09-01"", ""priority"": ""low""}"
150,Call,3/4/2023,"{""follow_up_date"": ""2023-05-28"", ""priority"": ""low""}"
828,Call,3/4/2023,"{""follow_up_date"": ""2024-01-17"", ""priority"": ""low""}"
567,Email,3/6/2023,"{""follow_up_date"": ""2023-06-19"", ""priority"": ""medium""}"
444,Call,3/6/2023,"{""follow_up_date"": ""2023-03-18"", ""priority"": ""medium""}"
525,Call,3/6/2023,"{""follow_up_date"": ""2023-06-20"", ""priority"": ""medium""}"
817,Meeting,3/6/2023,"{""follow_up_date"": ""2023-07-17"", ""priority"": ""medium""}"
868,Email,3/6/2023,"{""follow_up_date"": ""2023-11-06"", ""priority"": ""low""}"
681,Call,3/6/2023,"{""follow_up_date"": ""2023-11-09"", ""priority"": ""medium""}"
954,Email,3/7/2023,"{""follow_up_date"": ""2023-05-08"", ""priority"": ""low""}"
65,Call,3/7/2023,"{""follow_up_date"": ""2024-01-12"", ""priority"": ""high""}"
454,Meeting,3/7/2023,"{""follow_up_date"": ""2023-06-10"", ""priority"": ""medium""}"
297,Call,3/7/2023,"{""follow_up_date"": ""2023-08-14"", ""priority"": ""medium""}"
155,Email,3/7/2023,"{""follow_up_date"": ""2023-08-01"", ""priority"": ""low""}"
38,Email,3/8/2023,"{""follow_up_date"": ""2023-04-28"", ""priority"": ""medium""}"
673,Meeting,3/8/2023,"{""follow_up_date"": ""2023-07-30"", ""priority"": ""high""}"
271,Email,3/8/2023,"{""follow_up_date"": ""2023-12-05"", ""priority"": ""high""}"
990,Email,3/8/2023,"{""follow_up_date"": ""2024-03-05"", ""priority"": ""medium""}"
615,Email,3/8/2023,"{""follow_up_date"": ""2023-09-07"", ""priority"": ""low""}"
588,Meeting,3/9/2023,"{""follow_up_date"": ""2024-02-21"", ""priority"": ""high""}"
152,Meeting,3/10/2023,"{""follow_up_date"": ""2023-05-13"", ""priority"": ""low""}"
251,Call,3/10/2023,"{""follow_up_date"": ""2023-08-07"", ""priority"": ""low""}"
511,Meeting,3/11/2023,"{""follow_up_date"": ""2023-05-28"", ""priority"": ""medium""}"
427,Email,3/12/2023,"{""follow_up_date"": ""2023-03-16"", ""priority"": ""medium""}"
996,Meeting,3/12/2023,"{""follow_up_date"": ""2023-04-22"", ""priority"": ""low""}"
768,Meeting,3/12/2023,"{""follow_up_date"": ""2023-09-12"", ""priority"": ""high""}"
647,Meeting,3/14/2023,"{""follow_up_date"": ""2023-08-26"", ""priority"": ""high""}"
577,Call,3/14/2023,"{""follow_up_date"": ""2023-03-21"", ""priority"": ""medium""}"
251,Call,3/14/2023,"{""follow_up_date"": ""2023-06-24"", ""priority"": ""low""}"
636,Email,3/15/2023,"{""follow_up_date"": ""2023-06-14"", ""priority"": ""medium""}"
695,Email,3/15/2023,"{""follow_up_date"": ""2023-11-21"", ""priority"": ""low""}"
148,Meeting,3/16/2023,"{""follow_up_date"": ""2023-04-09"", ""priority"": ""high""}"
729,Email,3/16/2023,"{""follow_up_date"": ""2023-09-23"", ""priority"": ""low""}"
837,Email,3/16/2023,"{""follow_up_date"": ""2024-02-16"", ""priority"": ""low""}"
973,Email,3/17/2023,"{""follow_up_date"": ""2023-04-10"", ""priority"": ""high""}"
146,Call,3/17/2023,"{""follow_up_date"": ""2023-08-01"", ""priority"": ""low""}"
986,Email,3/17/2023,"{""follow_up_date"": ""2023-11-13"", ""priority"": ""medium""}"
239,Email,3/17/2023,"{""follow_up_date"": ""2023-10-01"", ""priority"": ""low""}"
441,Call,3/18/2023,"{""follow_up_date"": ""2023-04-22"", ""priority"": ""low""}"
714,Call,3/18/2023,"{""follow_up_date"": ""2024-01-11"", ""priority"": ""medium""}"
912,Call,3/19/2023,"{""follow_up_date"": ""2023-06-03"", ""priority"": ""low""}"
105,Meeting,3/19/2023,"{""follow_up_date"": ""2024-02-02"", ""priority"": ""high""}"
843,Meeting,3/19/2023,"{""follow_up_date"": ""2023-05-03"", ""priority"": ""low""}"
862,Call,3/20/2023,"{""follow_up_date"": ""2023-04-22"", ""priority"": ""low""}"
763,Meeting,3/20/2023,"{""follow_up_date"": ""2023-09-28"", ""priority"": ""low""}"
910,Email,3/20/2023,"{""follow_up_date"": ""2023-09-15"", ""priority"": ""high""}"
806,Call,3/20/2023,"{""follow_up_date"": ""2023-11-20"", ""priority"": ""high""}"
179,Call,3/21/2023,"{""follow_up_date"": ""2023-03-30"", ""priority"": ""high""}"
35,Email,3/21/2023,"{""follow_up_date"": ""2024-01-20"", ""priority"": ""high""}"
136,Call,3/22/2023,"{""follow_up_date"": ""2023-04-26"", ""priority"": ""low""}"
393,Call,3/22/2023,"{""follow_up_date"": ""2024-02-09"", ""priority"": ""medium""}"
382,Email,3/23/2023,"{""follow_up_date"": ""2023-03-28"", ""priority"": ""high""}"
190,Meeting,3/24/2023,"{""follow_up_date"": ""2024-01-20"", ""priority"": ""medium""}"
393,Meeting,3/24/2023,"{""follow_up_date"": ""2024-03-06"", ""priority"": ""medium""}"
18,Email,3/24/2023,"{""follow_up_date"": ""2024-02-11"", ""priority"": ""low""}"
578,Meeting,3/24/2023,"{""follow_up_date"": ""2023-05-10"", ""priority"": ""high""}"
61,Meeting,3/25/2023,"{""follow_up_date"": ""2023-09-09"", ""priority"": ""high""}"
409,Meeting,3/25/2023,"{""follow_up_date"": ""2023-07-19"", ""priority"": ""high""}"
324,Meeting,3/25/2023,"{""follow_up_date"": ""2023-11-19"", ""priority"": ""high""}"
680,Meeting,3/26/2023,"{""follow_up_date"": ""2023-10-04"", ""priority"": ""low""}"
135,Meeting,3/26/2023,"{""follow_up_date"": ""2023-08-11"", ""priority"": ""low""}"
918,Call,3/27/2023,"{""follow_up_date"": ""2023-04-28"", ""priority"": ""low""}"
212,Meeting,3/27/2023,"{""follow_up_date"": ""2023-05-31"", ""priority"": ""medium""}"
234,Call,3/28/2023,"{""follow_up_date"": ""2024-01-19"", ""priority"": ""low""}"
664,Call,3/28/2023,"{""follow_up_date"": ""2023-04-22"", ""priority"": ""low""}"
747,Meeting,3/28/2023,"{""follow_up_date"": ""2024-02-16"", ""priority"": ""medium""}"
530,Call,3/29/2023,"{""follow_up_date"": ""2023-12-27"", ""priority"": ""low""}"
187,Call,3/29/2023,"{""follow_up_date"": ""2023-09-07"", ""priority"": ""low""}"
642,Meeting,3/29/2023,"{""follow_up_date"": ""2023-12-03"", ""priority"": ""high""}"
730,Meeting,3/29/2023,"{""follow_up_date"": ""2024-02-12"", ""priority"": ""high""}"
150,Meeting,3/30/2023,"{""follow_up_date"": ""2023-09-19"", ""priority"": ""low""}"
504,Call,3/31/2023,"{""follow_up_date"": ""2023-08-16"", ""priority"": ""medium""}"
432,Email,4/1/2023,"{""follow_up_date"": ""2024-03-17"", ""priority"": ""low""}"
510,Call,4/2/2023,"{""follow_up_date"": ""2024-02-01"", ""priority"": ""low""}"
365,Email,4/2/2023,"{""follow_up_date"": ""2023-08-01"", ""priority"": ""high""}"
283,Meeting,4/2/2023,"{""follow_up_date"": ""2023-11-11"", ""priority"": ""low""}"
186,Meeting,4/3/2023,"{""follow_up_date"": ""2023-07-24"", ""priority"": ""medium""}"
438,Meeting,4/3/2023,"{""follow_up_date"": ""2023-07-05"", ""priority"": ""low""}"
701,Meeting,4/4/2023,"{""follow_up_date"": ""2023-06-18"", ""priority"": ""medium""}"
82,Meeting,4/4/2023,"{""follow_up_date"": ""2023-04-21"", ""priority"": ""low""}"
643,Call,4/4/2023,"{""follow_up_date"": ""2023-04-22"", ""priority"": ""low""}"
748,Call,4/5/2023,"{""follow_up_date"": ""2023-05-07"", ""priority"": ""low""}"
94,Meeting,4/5/2023,"{""follow_up_date"": ""2023-10-09"", ""priority"": ""high""}"
824,Call,4/5/2023,"{""follow_up_date"": ""2023-04-14"", ""priority"": ""high""}"
629,Email,4/5/2023,"{""follow_up_date"": ""2023-04-06"", ""priority"": ""high""}"
215,Email,4/5/2023,"{""follow_up_date"": ""2024-02-14"", ""priority"": ""high""}"
541,Meeting,4/6/2023,"{""follow_up_date"": ""2023-05-01"", ""priority"": ""medium""}"
765,Call,4/6/2023,"{""follow_up_date"": ""2023-08-16"", ""priority"": ""high""}"
100,Email,4/6/2023,"{""follow_up_date"": ""2023-04-21"", ""priority"": ""medium""}"
637,Call,4/7/2023,"{""follow_up_date"": ""2024-02-12"", ""priority"": ""medium""}"
280,Call,4/7/2023,"{""follow_up_date"": ""2023-08-14"", ""priority"": ""medium""}"
267,Email,4/7/2023,"{""follow_up_date"": ""2023-06-04"", ""priority"": ""low""}"
865,Email,4/8/2023,"{""follow_up_date"": ""2024-01-11"", ""priority"": ""medium""}"
362,Email,4/9/2023,"{""follow_up_date"": ""2023-04-13"", ""priority"": ""medium""}"
345,Email,4/9/2023,"{""follow_up_date"": ""2023-11-25"", ""priority"": ""high""}"
374,Meeting,4/9/2023,"{""follow_up_date"": ""2023-11-18"", ""priority"": ""low""}"
714,Email,4/9/2023,"{""follow_up_date"": ""2024-01-21"", ""priority"": ""medium""}"
898,Email,4/10/2023,"{""follow_up_date"": ""2023-07-09"", ""priority"": ""high""}"
989,Email,4/11/2023,"{""follow_up_date"": ""2023-12-12"", ""priority"": ""high""}"
601,Email,4/11/2023,"{""follow_up_date"": ""2023-12-20"", ""priority"": ""high""}"
128,Call,4/11/2023,"{""follow_up_date"": ""2024-01-23"", ""priority"": ""high""}"
171,Meeting,4/12/2023,"{""follow_up_date"": ""2024-02-11"", ""priority"": ""high""}"
902,Call,4/12/2023,"{""follow_up_date"": ""2024-03-02"", ""priority"": ""low""}"
345,Call,4/13/2023,"{""follow_up_date"": ""2023-12-05"", ""priority"": ""low""}"
546,Meeting,4/14/2023,"{""follow_up_date"": ""2023-05-12"", ""priority"": ""medium""}"
150,Meeting,4/14/2023,"{""follow_up_date"": ""2023-12-06"", ""priority"": ""high""}"
145,Email,4/15/2023,"{""follow_up_date"": ""2024-03-17"", ""priority"": ""low""}"
955,Meeting,4/15/2023,"{""follow_up_date"": ""2024-02-29"", ""priority"": ""medium""}"
41,Call,4/15/2023,"{""follow_up_date"": ""2023-08-26"", ""priority"": ""high""}"
698,Email,4/16/2023,"{""follow_up_date"": ""2023-11-25"", ""priority"": ""high""}"
673,Meeting,4/17/2023,"{""follow_up_date"": ""2023-05-08"", ""priority"": ""high""}"
713,Call,4/17/2023,"{""follow_up_date"": ""2023-11-14"", ""priority"": ""high""}"
10,Meeting,4/17/2023,"{""follow_up_date"": ""2023-12-14"", ""priority"": ""low""}"
478,Call,4/18/2023,"{""follow_up_date"": ""2024-01-12"", ""priority"": ""high""}"
984,Meeting,4/18/2023,"{""follow_up_date"": ""2023-12-05"", ""priority"": ""high""}"
99,Meeting,4/18/2023,"{""follow_up_date"": ""2023-08-30"", ""priority"": ""low""}"
673,Meeting,4/18/2023,"{""follow_up_date"": ""2023-12-05"", ""priority"": ""low""}"
794,Call,4/19/2023,"{""follow_up_date"": ""2023-10-16"", ""priority"": ""high""}"
157,Meeting,4/19/2023,"{""follow_up_date"": ""2023-07-18"", ""priority"": ""high""}"
494,Email,4/19/2023,"{""follow_up_date"": ""2024-03-31"", ""priority"": ""high""}"
959,Meeting,4/20/2023,"{""follow_up_date"": ""2023-04-20"", ""priority"": ""medium""}"
495,Call,4/20/2023,"{""follow_up_date"": ""2023-10-17"", ""priority"": ""low""}"
665,Call,4/20/2023,"{""follow_up_date"": ""2024-02-19"", ""priority"": ""medium""}"
368,Meeting,4/20/2023,"{""follow_up_date"": ""2023-11-27"", ""priority"": ""medium""}"
150,Meeting,4/20/2023,"{""follow_up_date"": ""2023-10-27"", ""priority"": ""low""}"
337,Call,4/21/2023,"{""follow_up_date"": ""2023-11-12"", ""priority"": ""low""}"
821,Call,4/21/2023,"{""follow_up_date"": ""2023-08-12"", ""priority"": ""low""}"
946,Email,4/21/2023,"{""follow_up_date"": ""2023-12-12"", ""priority"": ""medium""}"
897,Email,4/21/2023,"{""follow_up_date"": ""2023-10-09"", ""priority"": ""medium""}"
376,Call,4/22/2023,"{""follow_up_date"": ""2023-05-14"", ""priority"": ""medium""}"
